,precision,recall,f1-score,support
0,0.0,0.0,0.0,0.0
6,0.15584415584415584,0.96,0.2681564245810056,150.0
12,0.813953488372093,0.30434782608695654,0.4430379746835443,690.0
14,0.6153846153846154,0.26666666666666666,0.37209302325581395,270.0
17,0.4723926380368098,0.21388888888888888,0.2944550669216061,360.0
27,0.02631578947368421,0.016666666666666666,0.02040816326530612,60.0
40,0.6296296296296297,0.7555555555555555,0.6868686868686869,90.0
accuracy,0.3530864197530864,0.3530864197530864,0.3530864197530864,0.3530864197530864
macro avg,0.38764575953442687,0.3595893719806763,0.29785990565370896,1620.0
weighted avg,0.6046082347133043,0.3530864197530864,0.3798958507430522,1620.0
